지역별,시점,건축착공면적[㎡],건축허가면적증감률[%],고용률(시도)[%],실업률(시도),소비자물가지수[2015=100],아파트매매가격지수,아파트전세가격지수[2017.11 = 100.0],주민등록인구[명],주택매매가격지수,주택전세가격지수[2017.11 = 100.0],지가변동률[%],부동산 시장 소비심리지수,토지거래필지수,기준금리,국고채,회사채,가계대출,주택담보대출,아파트매매거래량,PIR,LIR,Class,"강력범죄율(강력범죄수/인구수 *100, 단위 %)",연구시설,사회복지시설,공공직업훈련시설,청소년수련시설,학교,공공청사,문화시설,체육시설,사회복지시설,광장,공원,녹지,유원지,공공공지,교통문화지수,종합의료시설,"인구십만명당 문화기반시설수(A÷B×100,000) (개)",중대형 상가,소규모 상가,집합 상가,Class
전라북도,2018,410245.75,15.30833333,58.3,2.716666667,104.1516667,98.9856539,99.36842712,1843866.167,100.0089787,99.82620564,0.223666667,97.46666667,12311.83333,1.541666667,2.099916667,2.649583333,24468.3,11022.60833,1603.25,4.5375,2.505833333,0,0.05128395,27,30,3,9,810,183,45,76,30,330,787,699,15,96,75.33,6,8.6,132,196,832,0
전라북도,2019,417547.3333,1.45,59.34166667,2.7,104.4758333,95.94504096,97.10769926,1826241.167,99.35817204,98.71687174,0.213833333,94.93333333,10935.25,1.5625,1.53175,2.02475,25511.725,11065.08333,1658.916667,4.235,2.363333333,0,0.058441369,27,30,3,8,807,190,46,78,30,350,788,713,15,97,76.84,6,9.6,171,233,832,0
전라북도,2020,409244.25,0.125,59.93333333,2.483333333,105.0358333,94.67338941,95.85615809,1809391,99.48837397,98.02229339,0.19525,113.025,12636.33333,0.666666667,0.98975,2.127583333,26658.01667,11161.08333,2732.416667,4.523333333,2.535833333,0,0.053988018,28,30,3,8,802,195,50,86,30,359,758,734,14,106,75.48,6,10,177,251,832,0
전라남도,2015,438291,12.53333333,62.81666667,2.55,99.99916667,95.6689909,95.82733508,1903999.083,96.19063441,96.7494202,0.230583333,117.0833333,14453.33333,1.645833333,1.798,2.087416667,16070.925,6653.808333,1780.416667,3.848333333,1.765,0,0.049135776,13,64,4,9,938,268,55,88,64,496,1436,1359,35,146,75.44,13,9.5,103,129,619,0
전라남도,2016,455810.0833,29.70833333,62.66666667,3.008333333,100.9408333,97.21736918,97.24710511,1904030.917,97.35585116,98.05440567,0.214333333,119.1166667,13798.66667,1.354166667,1.440583333,1.885166667,18160.2,7096.8,1780.083333,4.051666667,2.055,0,0.049371978,13,63,4,10,924,265,69,87,63,492,1431,1336,36,212,82.77,14,10,103,129,619,0
전라남도,2017,539118.3333,7.1,62.1,3.183333333,103.0791667,98.98615582,99.05576742,1897815.75,98.98674732,99.36394537,0.319583333,120.3,15156.08333,1.291666667,1.80325,2.327,20481.13333,7723.066667,1786.916667,4.175,2.2125,0,0.051254361,15,63,4,10,914,274,77,90,63,494,1444,1333,36,210,82.56,15,10.5,118,142,616,0
전라남도,2018,511705.8333,16.025,62.425,2.775,104.625,101.062052,100.934074,1886869.25,101.2884864,100.6579656,0.326916667,114.7583333,15639.91667,1.541666667,2.099916667,2.649583333,22072.68333,8072.15,1614.416667,4.294166667,2.368333333,0,0.053266913,17,54,4,10,912,282,87,109,54,507,1413,1547,36,283,73.96,15,10.9,129,169,616,0
전라남도,2019,586933.6667,19.30833333,63.41666667,2.55,104.9733333,101.9923176,101.8907631,1870476.917,103.9847439,101.4125571,0.318916667,110.7166667,14997.58333,1.5625,1.53175,2.02475,23193.66667,8627.383333,1597.166667,4.155,2.305833333,0,0.053458337,17,54,4,11,911,288,88,109,54,522,1390,1544,38,282,79.19,15,11.9,149,223,616,0
전라남도,2020,618084,-4.583333333,63.86666667,2.366666667,105.7133333,102.436557,102.9341788,1855231.333,105.9805374,102.1372584,0.272583333,116.8166667,16927.83333,0.666666667,0.98975,2.127583333,24942.40833,9307.691667,2335.25,4.506666667,2.551666667,0,0.052928656,19,60,4,11,918,293,90,109,60,538,1432,1666,39,358,77.66,15,12.3,195,312,616,0
경상북도,2015,889060.8333,30.58333333,62.35833333,3.041666667,99.99916667,107.4502446,103.7022227,2699296.083,101.4023838,101.3535378,0.21825,117.4,21390.08333,1.645833333,1.798,2.087416667,29188.675,13298.15833,3007.25,4.133333333,1.8125,0,0.042548059,34,26,2,14,1006,247,76,100,26,440,1621,1975,30,182,76.28,7,7.3,131,101,1114,0
경상북도,2016,779323.6667,-12,62.4,3.166666667,100.685,106.2953733,103.7360014,2701337,101.5652009,101.6503612,0.20925,97.38333333,18013.83333,1.354166667,1.440583333,1.885166667,33962.14167,15318.875,1963.666667,4.3775,2.1225,0,0.040771768,33,30,2,15,1012,259,100,106,30,462,1717,2123,31,208,79.11,7,7.2,131,101,1114,0
경상북도,2017,583350.25,-13.91666667,62.45833333,2.766666667,102.5508333,101.728304,101.167271,2693049.75,100.3087021,100.5474448,0.254083333,94.975,18407.5,1.291666667,1.80325,2.327,37092.35833,16470.4,1876.75,4.616666667,2.5625,0,0.046364648,37,32,2,14,1017,261,108,109,32,466,1728,2180,30,213,77.23,8,7.4,115,121,1127,0
경상북도,2018,730112.9167,27.98333333,61.59166667,4.125,104.0783333,96.68984475,97.0453567,2680889.417,98.93063259,98.43100883,0.23525,84.225,15654,1.541666667,2.099916667,2.649583333,38439.16667,16439.48333,1675.166667,4.465833333,2.57,0,0.047892452,35,34,2,15,1015,270,109,132,34,466,1767,2252,30,225,73.37,10,7.5,156,185,1127,0
경상북도,2019,534193.6667,-21.8,61.675,3.916666667,104.2575,90.39171719,92.01085063,2668962.917,96.62064152,95.6437445,0.196166667,86.975,13909.41667,1.5625,1.53175,2.02475,39036.45,16284.825,1939.333333,4.1825,2.379166667,0,0.050078099,37,34,2,16,1010,282,114,133,34,467,1792,2283,30,228,74.69,10,7.9,200,262,1127,0
경상북도,2020,621412.0833,-8.516666667,61.13333333,4.041666667,104.3883333,87.9212729,90.65257598,2647046.25,95.85422841,94.84444039,0.152916667,109.9,16423.16667,0.666666667,0.98975,2.127583333,39374.80833,15812.025,3344.5,4.344166667,2.4075,0,0.046032806,38,34,2,16,1000,295,115,134,34,477,1702,1957,27,243,78.33,8,8.3,270,344,1127,0
경상남도,2015,855229.5,4.741666667,60.575,2.641666667,100.0008333,103.9543973,102.3293143,3357028.417,101.3254925,101.1917278,0.18425,118.5416667,22217.33333,1.645833333,1.798,2.087416667,44444.78333,23342.075,4420.25,4.770833333,2.0475,0,0.051891668,18,58,1,15,1092,339,51,137,58,308,1623,1608,31,248,79.84,13,5.6,109,110,1304,0
경상남도,2016,1115109.5,36.10833333,60.59166667,3.35,100.9266667,104.3983353,103.698261,3368509.75,101.8886597,102.2286283,0.194416667,107.4,19870,1.354166667,1.440583333,1.885166667,50167.05833,26014.35833,3346,4.895833333,2.3425,0,0.049112725,18,58,1,15,1075,381,67,139,58,316,1660,1598,32,243,82.75,14,5.7,109,110,1304,0
경상남도,2017,657605.5833,-25.29166667,60.88333333,2.933333333,102.5458333,101.9997815,102.4396525,3374758.833,100.8692602,101.5477668,0.25425,93.68333333,20624.33333,1.291666667,1.80325,2.327,55154.65833,28193.03333,2760.583333,5.32,2.760833333,0,0.053011415,18,60,1,15,1090,415,69,143,60,325,1698,1651,32,260,80.45,15,5.8,135,149,1401,0
경상남도,2018,490892.6667,-18.96666667,61.38333333,3.025,103.9608333,95.21651471,96.03072545,3376880.25,97.40871692,97.34891866,0.18175,85.1,16229.5,1.541666667,2.099916667,2.649583333,57581.7,28740.71667,2236.5,5.014166667,2.753333333,0,0.052786198,19,60,1,15,1093,426,75,169,60,343,1752,1703,36,266,74.02,15,6.1,151,174,1401,0
경상남도,2019,416664.4167,6.591666667,61.275,3.766666667,104.0458333,87.84825533,89.30866734,3366939.583,93.0359556,92.66479452,0.046333333,85.3,15338.08333,1.5625,1.53175,2.02475,58431.20833,28796.91667,2863.25,4.825833333,2.665,0,0.052579097,20,61,1,16,1094,426,76,171,61,347,1794,1845,38,280,77.95,15,6.6,212,232,1401,0
경상남도,2020,489636.1667,-1.025,60.58333333,4.008333333,104.69,86.97200627,88.48960959,3349198.333,92.41077786,91.91181078,0.05975,108.9166667,17884.75,0.666666667,0.98975,2.127583333,57958.73333,27816.75833,4852.916667,4.824166667,2.649166667,0,0.055116196,21,61,1,16,1085,429,84,176,61,352,1729,1827,36,285,77.61,15,6.8,276,305,1401,0
